category,problem_statement,severity_signal,original_quote,chunk_id,start_time,end_time
E-commerce Platform,"There is a lack of native integration for certain payment methods (e.g., Transila, Bit, Apple Pay, Google Pay) with Shopify.",Medium,הבעיה שאין נייטיב עם שופיפיי,178,"7/7/25, 20:44","7/8/25, 16:43"
E-commerce Platform Integration,There is a lack of native payment gateway integration options with Shopify.,Medium,הבעיה שאין נייטיב עם שופיפיי,179,"7/8/25, 16:39","7/9/25, 08:18"
Conversion Rate Optimization,Concerns that using non-native payment solutions will negatively impact conversion rates.,Medium,אני מפחד שיוריד אחוזי המרה,179,"7/8/25, 16:39","7/9/25, 08:18"
Conversion Rate Optimization,Merchants are hesitant to offer popular payment methods like Apple Pay and Google Pay due to concerns about conversion rates with non-native integrations.,Medium,לא מציע אפל פיי וגוגל פיי בגלל זה בכלל,179,"7/8/25, 16:39","7/9/25, 08:18"
Payments,Frustration with the ongoing costs and reliance on Stripe as a payment processor.,Medium,עד מתי וכמה עוד סטרייפ,179,"7/8/25, 16:39","7/9/25, 08:18"
Multi-store Management,"Difficulty integrating external payment processors for international stores, especially when it adds a visible external brand name (e.g., Payplus) which can be problematic.",Medium,"הבעיה שאני גם בשני אתרים והראשי לחול, לפי הבנתי להוסיף סולק חיצוני אם כותרת Payplus למשל בעייתי",179,"7/8/25, 16:39","7/9/25, 08:18"
Vendor Trust,"Distrust towards new payment processors offering low initial rates, as past experiences show they tend to increase fees (e.g., per-transaction fees, minimums) once they gain market share.",High,השאלה מה הקאצ'. הם סולק חדש אז אולי מנסים לצבור לקוחות.. גם משולם עשו את זה ואחרי שגדלו דחפו שקל לעסקה ועמלות מינימום ומשיכה.,179,"7/8/25, 16:39","7/9/25, 08:18"
Cost Management,Difficulty avoiding foreign currency deposit fees when processing tourist credit cards with Max.,Medium,האם מישהו סולק עם מקס כרטיסי תייר והצליח להיפטר מהעמלת הפקדת מט״ח?,179,"7/8/25, 16:39","7/9/25, 08:18"
Cost Management,Foreign currency deposit fees are a significant financial burden for merchants.,High,זה קילר,179,"7/8/25, 16:39","7/9/25, 08:18"
Onboarding,"Payment processors have a difficult, complex, and time-consuming onboarding process with poor customer service, leading to merchants abandoning the setup.",High,"אני בעבר ניסיתי להתחבר אליהם, זה היה פשוט סיוט מורכב ומסובך שאחרי חודש שהם מעבירים אותי מאחד לשני ומבקשים ממני די לעשות הכל בעצמי פשוט ויתרתי",179,"7/8/25, 16:39","7/9/25, 08:18"
Cost Management,"Payment processors unilaterally change contract terms and add hidden fees (e.g., 1 NIS per transaction) to existing agreements without clear communication.",High,אני איתם מ2021 והוסיפו לי אותו מסלול שהיה לי אבל הוסיפו את השקל לכל עסקה,179,"7/8/25, 16:39","7/9/25, 08:18"
Billing Transparency,"Lack of transparency in billing, with new fees hidden in small print on invoices, making it difficult for merchants to notice changes until much later.",High,האמת לא ידעתי בהתחלה מסתבר שזה היה באיזה שורה קטנה בחשבונית שלא שמתי לב אליה רק בדיעבד קלטתי את זה,179,"7/8/25, 16:39","7/9/25, 08:18"
Cash Flow Management,"Payment processors' delayed payout schedules (e.g., 10th of the month) cause severe cash flow issues for businesses needing to pay employees earlier (e.g., by the 9th), sometimes forcing them to take loans.",High,"אני לא סובל חברות שמשלמות ב10 בחודש, הייתי לוקח הלוואה כל חודש בשביל יום אחד, אבסורד",179,"7/8/25, 16:39","7/9/25, 08:18"
Cash Flow Management,"Payment processors offer early payout options only for a fee, with limitations, and for only part of the amount, while competitors offer full, earlier payouts without extra charges or 'tricks'.",Medium,"הם יצאו עם תכנית בעלות נוספת להקדים תשלום, אבל זה רק חלק מהסכום בכל מיני הגבלות ורק דרך הפלטפורמה שלהם וכאמור בתוספת תשלום ... אני אישית לא אהבתי",179,"7/8/25, 16:39","7/9/25, 08:18"
Billing Transparency,"Payment processors use deceptive calculation methods, lack transparency, and make it difficult for merchants to understand fees, often treating invoice delivery as a favor.",High,"וזה מאוד נכון שכל אחד מנסה לגזור איזה אחוזון, על הגב שחנו ואנחנו צריכים להתמודד עם הקושי להבין את שיטות החישוב הערמומיות שלהם וחוסר השקיפות. ובסוף עושים טובה אם שולחים לך חשבונית .",179,"7/8/25, 16:39","7/9/25, 08:18"
Cost Management,"Payment processors impose high, fixed monthly fees (e.g., 250 NIS) regardless of transaction volume, which is seen as deceptive and exploitative, especially when they advertise low percentage fees.",High,"250 ש""ח לחודש בלי קשר למחזור??? זה פשוט לעבוד על אנשים.. להתהדר בעמלה נמוכה ואז לדחוף עמלה מטורפת בלי קשר למחזור שאף אחד אחר לא גובה.",179,"7/8/25, 16:39","7/9/25, 08:18"
Communication Tools,Experiencing a bug or malfunction with WhatsApp Business.,Medium,למישהו יש גם תקלה בווצאפ ביזנס או שזה רק אצלי לא עובד?,179,"7/8/25, 16:39","7/9/25, 08:18"
SEO,Concern about the negative impact on organic search ranking when changing a website's domain.,Medium,האם אפשרי להחליף דומיין לאתר בלי לפגוע בקידום האורגני בגוגל?,179,"7/8/25, 16:39","7/9/25, 08:18"
SEO,"Domain changes consistently lead to a negative impact on SEO, based on multiple past experiences.",Medium,"ב5 מעברים שהיתי חלק אינטגרלי בהם, זה ניפגע.",179,"7/8/25, 16:39","7/9/25, 08:18"
SEO,"It is impossible to change a domain without negatively affecting SEO, as SEO is inherently tied to the domain itself.",Medium,אי אפשר. תמיד זה נפגע. הקידום הוא של הדומיין. לא של האתר,179,"7/8/25, 16:39","7/9/25, 08:18"
SEO / Website Migration,Website SEO and rankings are negatively impacted during domain migrations.,Medium,"ב5 מעברים שהיתי חלק אינטגרלי בהם, זה ניפגע.",180,"7/9/25, 08:06","7/10/25, 09:50"
Order Management / Access Control,Store managers need a secure way to share order information with fulfillment teams without exposing sensitive financial and administrative data from the main e-commerce platform (WordPress/WooCommerce).,Medium,מכירים מערכת שמומלץ להעביר דרכה הזמנות לצוות שמכין את ההזמנות בלי שיהיה חשוף לכל המערכת ניהול והכספים של האתר שלי?,180,"7/9/25, 08:06","7/10/25, 09:50"
Inventory Management / POS Integration,"Importers with physical fashion stores need a software/app to generate barcode labels for products (including price, inventory, and supplier codes) that can be read by both their POS system and e-commerce website.",Medium,"עם איזו תוכנה/ אפליקציה אתם מפיקים מדבקות ברקוד מחיר, מלאי, למוצרים ושישמרו על הקוד של המוצר מהספק ושהקופה והאתר יקראו אותם?",180,"7/9/25, 08:06","7/10/25, 09:50"
Analytics / Data Integration,"Shopify's native analytics reports are inadequate, and there's a need for a comprehensive analytics tool that integrates data from various sources (Shopify, GA4, Search Console) and presents it in a user-friendly, low-setup dashboard.",High,"לדעתי הreports של שופיפיי ממש לא מספק. מחפש כלי שמשלב דאטה מכל המקורות הרלוונטיים כגון GA4, search console, דאטה משופיפיי ומציג את הכל באופן נוח שלא דורש יותר מדי setup.",180,"7/9/25, 08:06","7/10/25, 09:50"
E-commerce Platform / Integrations,"The Google plugin for e-commerce platforms (likely WooCommerce) is often problematic due to API connection issues, and manual integration is too time-consuming.",High,"התוסף של גוגל די מיותר, כי הוא מחבר לך את הכל בחיבור של api ורוב הזמן הוא עושה בעיות, ואם בא לך לחבר משהו ידני, אז חבל לך על הזמן",180,"7/9/25, 08:06","7/10/25, 09:50"
Product Management / Integrations,The Google plugin is ineffective and problematic for uploading products to Google Merchant Center.,High,כל מה שקשור להעלאת מוצרים הוא פח,180,"7/9/25, 08:06","7/10/25, 09:50"
Analytics / Data Accuracy,"Shopify's analytics reports often include bot traffic, leading to inaccurate data regarding actual customer sessions.",Medium,גם הדוחות של שופיפיי משלבים הרבה פעמים בוטים ועוד כל מיני דברים שהם לא סשנים של לקוחות.,180,"7/9/25, 08:06","7/10/25, 09:50"
Analytics / Data Visualization,"The combined data from Shopify and Google Analytics is not displayed effectively, particularly when trying to integrate information from multiple sources.",High,בנוסף האנליטיקס של שופיפיי ושל לא מוצגים בצורה טובה וכשמדובר על לשלב הכל ביחד ממגוון מקורות שתי התוכנות לא מספיק טובות.,180,"7/9/25, 08:06","7/10/25, 09:50"
Shopify Bugs / Analytics,"Even with the new version of Shopify reports, there are bugs when attempting to display a large volume of data in a single report.",High,בשופיפיי למשל גם אחרי הגרסא החדשה של הדוחות יש באגים ברגע שרוצים להציג יותר מדי דאטה בדוח אחד.,180,"7/9/25, 08:06","7/10/25, 09:50"
Analytics / User Experience,Google Analytics 4 (GA4) presents smart insights in a way that is complicated and difficult for users to understand.,Medium,גם הדרך הצגה מסובכת ליוזר.,180,"7/9/25, 08:06","7/10/25, 09:50"
Analytics,"Existing analytics tools (Shopify, GA4, Clarity) are individually insufficient for comprehensive data analysis.",High,בכל מקרה לדעתי אף אחד מהכלים לא מספק,180,"7/9/25, 08:06","7/10/25, 09:50"
Analytics / Workflow,It is inconvenient and inefficient to constantly switch between multiple separate analytics sources to gather insights.,High,השאלה אם נוח לך כל פעם להסתכל בשתי המקורות בנפרד.,180,"7/9/25, 08:06","7/10/25, 09:50"
Data Analytics,Current data analytics tools do not provide a comprehensive solution.,Medium,בכל מקרה לדעתי אף אחד מהכלים לא מספק,181,"7/10/25, 09:45","7/13/25, 13:52"
Data Integration,"It is inconvenient and inefficient to manually check data from multiple separate sources (e.g., Analytics and Shopify).",Medium,השאלה אם נוח לך כל פעם להסתכל בשתי המקורות בנפרד.,181,"7/10/25, 09:45","7/13/25, 13:52"
Operational Efficiency,Analyzing data from disparate sources consumes excessive time and resources.,High,שלא לדבר על זמן ומשאבים,181,"7/10/25, 09:45","7/13/25, 13:52"
Payments,"There is a known issue with MasterCard transaction approvals, causing some transactions to be declined.",High,"קיימת תקלה באישור עסקאות בכרטיסים ממותג MasterCard, אשר גורמת לחלק מהעסקאות להידחות.",181,"7/10/25, 09:45","7/13/25, 13:52"
Payments Integration,"Experiencing problems with Multipass, the company that connects to PayMe.",Medium,"מישהו חווה בעיות עם מולטיפס לאחרונה, או רק אצלי?",181,"7/10/25, 09:45","7/13/25, 13:52"
Payments/Order Management,"PayMe transactions sometimes charge the voucher but fail to update the order status to 'in process,' leading to customers attempting the transaction again and incurring double charges.",High,"עסקאות ביימי לפעמים מחייבות את השובר, אבל העסקה לא עוברת ל""בטיפול"" ונוצרים חיובים כפולים עקב לקוח שמנסה שנית.",181,"7/10/25, 09:45","7/13/25, 13:52"
Payments Integration,"PayMe order status was not updated due to a server update or crash at PayPlus, causing IPN failure.",Medium,כן הייתה לנו עסקה אחת של ביימי שסטטוס ההזמנה לא עודכן. פייפלוס עדכנו שהיה להם עדכון שרת או שהשרת נפל בדיוק בזמן העסקה וה IPN לא עבר.,181,"7/10/25, 09:45","7/13/25, 13:52"
Logistics/Tool Availability,Unable to access the Shipper-Global website and order deliveries due to a 'network error.',High,מאתמול לא יכולה להזמין משלוחים כתוב לי network error,181,"7/10/25, 09:45","7/13/25, 13:52"
Logistics/Tool Availability,"Shipper-Global is experiencing a system error, preventing users from ordering deliveries.",High,יש תקלת מערכת מטופל בדקות אלו,181,"7/10/25, 09:45","7/13/25, 13:52"
Payments,"Difficulty connecting Shopify Payments to a bank account for an Israeli company, specifically regarding opening an international bank account.",Medium,השאלה לאיזה חשבון בנק מחברים את השופיפיי פיימנטס האם חברה ישראלית יכולה לפתוח חשבון בנק בינלאומי ?,206,"8/6/25, 17:33","8/10/25, 09:10"
Legal & Financial,"Shopify Payments requires the business entity (company or individual) to be local to the country from which it connects, not just a local bank account.",Medium,מבחינת שופיפיי הם לא בודקים רק חשבון בנק מקומי במדינה שממנה את מתחברת אלא גם האם היישות (החברה או הבן אדם) היא מקומית,206,"8/6/25, 17:33","8/10/25, 09:10"
Legal & Financial,"Difficulty with Shopify Payments due to tax entity requirements, not just bank account.",Medium,"זה לא רק עניין של חשבון בנק, זה עניין של ישות מס.",206,"8/6/25, 17:33","8/10/25, 09:10"
Taxation,High tax burden makes operating a British company (for Shopify Payments) not worthwhile.,High,כי הרואה חשבון אומר שזה לא שווה את המיסים,206,"8/6/25, 17:33","8/10/25, 09:10"
Marketing,Lack of up-to-date knowledge regarding optimal banner sizes and quantities for website promotions on WordPress to ensure good performance in campaigns.,Low,מי יכול לכתוב לי האם יש איזה חידוש מהשנתיים האחרונות (הפעם האחרונה שעשיתי שינוי 🤦‍♀️) מבחינת הגדלים או הכמות בכדי שיעברו טוב בקידומים?,206,"8/6/25, 17:33","8/10/25, 09:10"
Shopify Features,Difficulty implementing a 'free gift with purchase' promotion based on a minimum spend threshold on Shopify.,Medium,אם אני רוצה שמעל קניה של 2000 שח יקבלו נר במתנה- איך אני עושה את זה? בשופיפיי?,206,"8/6/25, 17:33","8/10/25, 09:10"
Shopify Features,Shopify's basic discount features do not support adding a free product to the cart.,Medium,ההנחות הבסיסיות של שופיפיי לא מאפשרות להוסיף מוצר לעגלה בחינם.,206,"8/6/25, 17:33","8/10/25, 09:10"
Payments,"Customers experience payment processing failures with PayPlus (spinning circle, then error/kick out) after entering payment details.",High,"לקוחות מסיימים הזמנה, מכניסים פרטי אשראי /גוגל פיי וכו' והעיגול מסתובב ומסתובב עד שזורק אותם החוצה ... 🙄",206,"8/6/25, 17:33","8/10/25, 09:10"
Payments,Experienced similar payment processing issues with PayPal for a specific customer.,Medium,ואלה זה גם קרה לי עם פייפאל דווקא ורק עם מישהי אחת,206,"8/6/25, 17:33","8/10/25, 09:10"
Website Testing,Difficulty finding test credit card details for payment testing on a website using Cardcom.,Low,"אני רוצה לעשות בדיקות תשלום באתר, עובד עם קארדכום, יש איזה פרטי אשראי שניתן להזין לעסקאות טסט?",206,"8/6/25, 17:33","8/10/25, 09:10"
Logistics,"Difficulty adapting to recent significant changes in US customs (15% tax) affecting shipping costs, product pricing, and shipping company relations for small/private shipments.",High,"אני רוצה לדעת איך אתם נערכים לשינויים האחרונים במכס האמריקאי ( 15%), שהופכים למשמעותיים גם עבור משלוחים פרטיים ומשלוחים קטנים (עד $800).",206,"8/6/25, 17:33","8/10/25, 09:10"
Payments,"Cardcom has an issue with Apple Pay, and their development cycle for fixes/updates is very slow (takes months).",High,גם אני עם קארדקום אבל יש להם בעיה עם Apple Pay וזה בעייתי כל דבר הם מעבירים לפיתוח של כמה חודשים.,206,"8/6/25, 17:33","8/10/25, 09:10"
Customer Service,"Unable to get a response from Paner WhatsApp automation service support for several days, needing to reach management.",High,איין תגובה מהשרות שלהם כמה ימים ??🙏,206,"8/6/25, 17:33","8/10/25, 09:10"
Payments,"Cardcom has persistent issues with Apple Pay, and their development cycle for resolving problems or implementing new features is excessively long (several months).",High,יש להם בעיה עם Apple Pay וזה בעייתי כל דבר הם מעבירים לפיתוח של כמה חודשים.,207,"8/10/25, 08:59","8/11/25, 10:17"
Customer Service,Difficulty reaching management or receiving a response from Paner WhatsApp automation's customer service for several days.,High,איין תגובה מהשרות שלהם כמה ימים,207,"8/10/25, 08:59","8/11/25, 10:17"
Payments,"Transzila, another payment gateway, also experiences occasional problems with Apple Pay.",Medium,גם לטרנזילה יש פה ושם בעיות עם אפל פי,207,"8/10/25, 08:59","8/11/25, 10:17"
Customer Service,"Cardcom's customer support is cumbersome and difficult to navigate, a problem common to many service providers.",Medium,מסכים שהתמיכה אצלם מסורבלת - אבל לצערי זה משותף לרוב החברות שאני עובד מולן,207,"8/10/25, 08:59","8/11/25, 10:17"
Customer Service,"PayPlus customer service phone line is experiencing a technical issue, making it impossible to call them.",High,יש תקלה בטלפון של השירות לקוחות של פייפלוס? אין אפשרות לחייג,207,"8/10/25, 08:59","8/11/25, 10:17"
Google My Business,"Experiencing issues with Google My Business verification for a new restaurant, as the location remains unverified despite submitting a video. Also, struggling to find a way to contact Google support for assistance.",High,"יש לי בעיה עם אימות של מסעדה חדשה בירושלים, בגוגל. העלינו וידאו מהמקום, ועדיין המקום לא אומת. יש פה מישהו שיכול לעזור? או שיכול לייעץ איך פונים לתמיכה של גוגל?",207,"8/10/25, 08:59","8/11/25, 10:17"
Customer Service,There is uncertainty whether Google My Business offers direct customer support for verification issues.,Medium,לא בטוחה שיש להם שירות תמיכה לזה,207,"8/10/25, 08:59","8/11/25, 10:17"
Customer Service,"Previous Google My Business support options, such as live video calls, are no longer available, and it's difficult to find alternative contact methods like an email address.",High,כבר לא עובדים..... יש מייל אולי למישהו?,207,"8/10/25, 08:59","8/11/25, 10:17"
Shopify,"Users lack sufficient technical understanding of Shopify to integrate YouTube Shorts into product pages and the homepage, requiring external help or plugins.",Medium,אני לא מספיק מבין בשופייפי ....אבל ראיתי איזה יוטיוב על זה בעבר על שילוב של שורטים בעמוד המוצר,207,"8/10/25, 08:59","8/11/25, 10:17"
SEO,"A user is dissatisfied with their current SEO provider, feeling that the work is not intensive enough and that money is being wasted, despite seeing some improvements.",High,"כי אני מרגיש שהמקדם לא עושה מספיק ושסתם נשפך כסף, ואשמח לשמוע מכיוונים אחרים איך זה אמור להראות...",207,"8/10/25, 08:59","8/11/25, 10:17"
SEO,"Many SEO providers charge a relatively low price but deliver minimal optimization and content, leading to client dissatisfaction.",High,הרוב לוקחים מחיר יחסית נמוך אולי יותר אבל לא עושים כמעט שום אופטימזציה,207,"8/10/25, 08:59","8/11/25, 10:17"
SEO,"A specific SEO company is described as performing very poorly ('garbage level') and forces clients into unreasonable year-long commitments, refusing to release them early.",High,הוא עובד עם חברה שהיא ברמת הפח אשפה (תסלחו לי על השפה). ... יש לא מעט אנשים שנפגעו מהם בקבוצה ושהם דורשים התחייבות לשנה ולא מסכימים לשחרר לפני א משנה מה,207,"8/10/25, 08:59","8/11/25, 10:17"
Service Provider Management,Lack of transparency and clear communication from a service provider regarding their work and results.,Medium,יש מצב שהוא פשוט לא מנגיש לך את העבודה שלו?,208,"8/11/25, 10:06","8/11/25, 21:17"
Service Provider Management,"Working with poor quality service providers who demand unreasonable long-term commitments (e.g., one year) and refuse early termination, causing significant harm to clients.",High,הוא עובד עם חברה שהיא ברמת הפח אשפה... דורשים התחייבות לשנה ולא מסכימים לשחרר לפני א משנה מה,208,"8/11/25, 10:06","8/11/25, 21:17"
Payments,"Persistent and varied payment processing issues with PayPlus, including credit card rejections, users being kicked out, long loading times, and payments not going through, leading to business damages.",High,התקלה אצלי בפייפלוס לא נעלמה... ממש מטריד. לא מתקבל כרטיס אשראי/ נזרקים החוצה/ העיגול מסתובב הרבה זמן והתשלום לא עובר... בינתיים נזקים !,208,"8/11/25, 10:06","8/11/25, 21:17"
Payments,"Experiencing payment processing issues with Bit, where customers were kicked out or payments got stuck with a spinning circle.",Medium,זה קרה גם אצלי בסופש והתקלה הייתה של ביט בסוף... כל מי שניסה לשלם אצלי בביט נזרק החוצה אחרי ששעה הסתובב לו העיגול,208,"8/11/25, 10:06","8/11/25, 21:17"
Payments,Experiencing payment processing issues with PayPal.,Low,לנו היה גם זה היה בכלל תקלה של פייפאל,208,"8/11/25, 10:06","8/11/25, 21:17"
Marketing,Risk of damage from incorrect or unprofessional link-building practices due to the complexity and many parameters involved in SEO.,Medium,יש הרבה דקויות שאפשר לעשות טעויות שרק יעשו נזק כמו ׳׳פרופיל קישורים אמיתי׳׳ ועוד…,208,"8/11/25, 10:06","8/11/25, 21:17"
Legal & Compliance,New privacy law (Amendment 13) coming into effect poses a risk of lawsuits against website owners who collect user data if they do not comply with new requirements.,High,"בתאריך 14.8.25 יכנס לתוקף תיקון 13 לחוק הגנת הפרטיות, ובדומה לחוק הנגישות - גם כאן צפויה להתחיל תופעה של תביעות נגד בעלי אתרים ועסקים.",208,"8/11/25, 10:06","8/11/25, 21:17"
Legal & Compliance,Uncertainty and burden regarding the necessity of adding a cookie consent pop-up to comply with new privacy regulations.,Medium,חייב להוסיף פופאפ לעוגיות?,208,"8/11/25, 10:06","8/11/25, 21:17"
Legal & Compliance,Complexity and varying requirements of the new privacy law make it difficult for website owners to understand their specific obligations without legal consultation.,Medium,היקף האחריות ומה נדרש מכל אחד כדי לעמוד בחוק משתנה בהתאם לסוג המידע שנאסף. מי שלא בטוח שווה להתייעץ משפטית..,208,"8/11/25, 10:06","8/11/25, 21:17"
Logistics & Shipping,"Dissatisfaction with K-Express shipping services in the past, leading to switching providers.",Medium,הייתי ועזבתי לפני חצי שנה לא היו משהו,208,"8/11/25, 10:06","8/11/25, 21:17"
Logistics & Shipping,"Extreme dissatisfaction with Cheetah shipping services, causing significant distress.",High,צ׳יטה😭,208,"8/11/25, 10:06","8/11/25, 21:17"
Logistics & Shipping,Difficulty finding information about minimum shipment requirements on a shipping provider's website.,Low,לא הצלחתי למצוא אצלם באתר מידע על זה,208,"8/11/25, 10:06","8/11/25, 21:17"
Marketing,"Inaccurate business location on Google Maps, causing issues for customers, and difficulty getting Google to approve location change requests.",High,"כרגע העסק ממוקם לא מדויק וזה יוצר בעיות עם לקוחות שמגיעות, בקיצור שלחתי להם שינוי של מיקום ולא מקבלת לזה אישור",208,"8/11/25, 10:06","8/11/25, 21:17"
Local SEO,"The business location on Google Maps is inaccurate, causing customers to get lost and frequently call for directions. A submitted correction has been pending for a week without approval.",High,"כרגע העסק ממוקם לא מדויק וזה יוצר בעיות עם לקוחות שמגיעות, בקיצור שלחתי להם שינוי של מיקום ולא מקבלת לזה אישור... שלחתי מיקום חדש אבל כבר שבוע לא שונה... זה פשוט ייוצר בעיה עם מגיעות לכיכר ואז הם מתקשרות לשאול איפה היא איפה לאן להגיע כל פעם מחדש",209,"8/11/25, 20:43","8/12/25, 17:23"
Marketing / Google Ads,"Lacks knowledge and expertise in Google Ads, needing guidance on conversion tracking, keyword research, and campaign optimization.",Medium,"מחפשת המלצה למישהו שיכול ללמד אותי על גוגל ads כדי להבין איך לעקוב בהמרות, ללמוד על מילות מפתח וכ'ו. וכמובן שיעבור איתי על הקמפיינים הקיימים",209,"8/11/25, 20:43","8/12/25, 17:23"
AI Tools / ChatGPT,"The latest version of ChatGPT (GPT-5) is perceived as a regression, performing worse than previous versions.",High,נוראי חזר כמה גרסאות אחורה,209,"8/11/25, 20:43","8/12/25, 17:23"
AI Tools / ChatGPT,User does not perceive any improvements in the latest version of ChatGPT (GPT-5).,Medium,אני מנסה להבין מה השתפר ותכלס לא מרגיש כלום,209,"8/11/25, 20:43","8/12/25, 17:23"
Payments / Operational Systems,"Seeking recommendations for an alternative operational system, implying the current system (PayPlus) may not be meeting needs.",Medium,מישהו יכול להמליץ על תפעולית? היום אני עם פייפלוס,209,"8/11/25, 20:43","8/12/25, 17:23"
AI Tools / ChatGPT,Pre-configured or 'pre-built' conversations/prompts in ChatGPT are now providing lower quality responses compared to previous versions.,High,מהצד שלי השיחות המוכנות שבניתי איתו התשובות פחות טובות לא כמו שהיו,209,"8/11/25, 20:43","8/12/25, 17:23"
Logistics / Shipping,"The current shipping provider has insufficient pickup points in certain areas, requiring the addition of another shipping solution.",Medium,שוקל להוסיף פתרון משלוחים נוסף לאזורים שאין נקודות איסוף אצל ספק המשלוחים הקיים,209,"8/11/25, 20:43","8/12/25, 17:23"
Legal / Website Compliance,Uncertainty regarding the correct wording for cookie consent pop-ups to comply with new cookie approval laws.,Medium,לאור חוק אישור קוקיס איזה הודעה אני צריך לרשום בפופאפ הקופץ?,209,"8/11/25, 20:43","8/12/25, 17:23"
Logistics / Shipping,Experienced poor service with Israel Post for shipping.,High,"עבדתי עם הדואר בעבר, שירות חרא כצפוי",209,"8/11/25, 20:43","8/12/25, 17:23"
Logistics / Shipping,"Low customer preference for Israel Post as a shipping option, even when offered.",Medium,"לא הרבה בוחרים בדואר ישראל הכוונה, גם כשיש תאופציה",209,"8/11/25, 20:43","8/12/25, 17:23"
Legal / Website Compliance,Unsure if their payment gateway/interface provider (Tranzila) offers compliance solutions or certifications for the new cookie law.,Medium,האם אתם מנפיקים אישור לפי החוק החדש שאתם עומדים בנושא של הקוקיז? למי שמחובר לממשק שלכם ועובד איתכם?,209,"8/11/25, 20:43","8/12/25, 17:23"
Legal / Website Compliance,Lack of clear understanding or awareness regarding recent updates to privacy protection laws and their specific requirements for website owners.,Medium,"היי, אתם יודעים על זה משהו?",209,"8/11/25, 20:43","8/12/25, 17:23"
Legal / Website Compliance,"Ambiguity surrounding the specific requirements of the new privacy law, particularly whether a simple checkbox is sufficient for consent or if a more explicit 'yes, I agree' field is needed on every form.",High,"הוספת שדה הסכמה לכל טופס? מה זה אומר? שהצק בוקס לא מספיק אלא גם צריך שיהיה מוזן "" כן אני מסכים""? לא ברור",209,"8/11/25, 20:43","8/12/25, 17:23"
Legal / Website Compliance,Lack of specific guidance on which sections or clauses of the privacy policy document need to be updated to comply with the new privacy law.,High,עדכןן מסמך פרטיות על מה מדובר מה מעדכנים? איזה סעיף?,209,"8/11/25, 20:43","8/12/25, 17:23"
Legal / Website Compliance,Confusion and uncertainty due to conflicting advice received regarding compliance with new privacy laws.,Medium,אז לא לשמוע לה?,209,"8/11/25, 20:43","8/12/25, 17:23"
Communication / Legal / Website Compliance,Difficulty understanding the explanations provided by a service provider regarding the requirements for privacy law compliance.,Medium,לא מבין מה היא עונה על מה ששאלתי,209,"8/11/25, 20:43","8/12/25, 17:23"
Legal / Website Compliance,Persistent lack of clarity regarding the requirement to 'add a consent field to every form' for privacy law compliance.,High,מה זה אומר הוספת שדה הסכמה בכל טופס...,209,"8/11/25, 20:43","8/12/25, 17:23"
Website Design / User Experience,"The website design is perceived as cluttered with product pages, unprofessional, and somewhat childish.",Medium,"האמת האתר נראה עמוס בעמודי מוצרים, לא מקצועי ואפילו טיפה ילדותי..",209,"8/11/25, 20:43","8/12/25, 17:23"
Shopify Apps / Customer Reviews,"Difficulty finding a simple and straightforward Shopify app for customer reviews, specifically avoiding Flashy.",Medium,מישהו מכיר תוסף לשופיפיי להשארת ביקורות? משהו פשוט פשוט פשוט.. לא דרך פלאשי,209,"8/11/25, 20:43","8/12/25, 17:23"
Sourcing/Suppliers,Users are looking for local suppliers in Israel for specific packaging materials (craft paper tape) to avoid expensive international orders from platforms like Amazon.,Medium,למנוע לי הזמנה סופר יקרה מאמזון ולהמליץ לי על חנות בארץ שמוכרת גלילי נייר דבק קראפט?,210,"8/12/25, 17:22","8/13/25, 18:39"
Legal/Compliance,Users need recommendations for lawyers or experts who understand the amendment to the Privacy Protection Law and can help with writing regulations/terms and conditions.,Medium,"אשמח להמלצה לעו""ד או מומחה שמבין לגבי התיקון לחוק הגנת הפרטיות",210,"8/12/25, 17:22","8/13/25, 18:39"
Legal/Compliance,Users lack a clear understanding or a summarized explanation of the new Privacy Protection Law.,Medium,מה החוק הפרטיות החדש מתייחס? מישהו יכול לאמל״ק?,210,"8/12/25, 17:22","8/13/25, 18:39"
Marketing/Customer Communication,Users are seeking insights and best practices for choosing between SMS and WhatsApp for marketing to customers whose details are available from Shopify.,Low,שאלה בנוגע לפירסום ללקוחות שיש לי את הפרטים שלהם מהשופיפי SMS מול ווטסאפ,210,"8/12/25, 17:22","8/13/25, 18:39"
Marketing/SEO,Users are struggling to find an excellent and reliable SEO-GEO company based on positive past experiences.,Medium,שוב מחפשת המלצה לחברת SEO- GEO לא פחות ממעולה.,210,"8/12/25, 17:22","8/13/25, 18:39"
Payments/Finance,Users are uncertain if their current credit card clearing fees are competitive and are looking for benchmarks to negotiate better rates.,Medium,אני רוצה לדעת אם אני משלמת סבבה או שיש מקום להתווכח איתם עוד קצת,210,"8/12/25, 17:22","8/13/25, 18:39"
Marketing/Analytics,Users are seeking average email marketing conversion rates to benchmark their own performance.,Low,מה האחוז המרה שלכם באימייל מרקטינג בממוצע?,210,"8/12/25, 17:22","8/13/25, 18:39"
Marketing/Advertising,Users need recommendations for an expert specializing in Google Ads and Shopping to maximize conversions and optimize campaigns.,Medium,המלצות לתותח שמתמחה בגוגל ads ושופינג למיקסום המרות ואופטימיזציית קמפיינים?,210,"8/12/25, 17:22","8/13/25, 18:39"
